RestaurantName,Category,Pricing,Locality,DiningRating,DiningReviewCount,DeliveryRatingCount
You Mee,"Japanese, Sushi, Asian, Chinese, Thai, Beverages",1000," Greater Kailash 2 (GK2), New Delhi",4.6,1010,1665
Delhi Club House,"North Indian, Continental, Asian",1700," Sangam Courtyard, RK Puram, New Delhi",4.6,1221,123
Wenger's Deli,"Fast Food, Desserts, Beverages, North Indian, Pizza",500," Connaught Place, New Delhi",4.6,2290,0
Farmer's Basket At Pluck,"Chinese, European, North Indian",3000," Pullman New Delhi Aerocity, Aerocity, New Delhi",4.6,913,0
The Pasta Bowl Company,"Italian, Fast Food, Pizza, Pasta",1300," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,1479,692
Chor Bizarre,"North Indian, Mughlai, Beverages",1600," Pandara Road Market, New Delhi",4.6,550,0
Honk - Pullman New Delhi Aerocity,"Japanese, Chinese, Thai, Beverages",2500," Pullman New Delhi Aerocity, Aerocity, New Delhi",4.6,835,5
Sakley's The Mountain Cafe,"Cafe, Italian, Fast Food",1300," DLF Galleria, DLF Phase 4, Gurgaon",4.6,1471,213
Cafe Diaries,"Cafe, Continental, Italian, Chinese, Mexican, Fast Food, Desserts, Beverages",800," Satyaniketan, New Delhi",4.6,1003,250
Nando's,"Portuguese, Roast Chicken, Burger, Wraps, Salad",800," Ambience Mall, DLF Phase 3, Gurgaon",4.6,969,269
Cafe Parmesan,"Italian, Pizza, Beverages",1800," Sector 15, Faridabad",4.6,1477,1257
Nona's Kitchen,"North Indian, Mughlai, Rolls, Chinese, Kebab",800," Supermart 1, DLF Phase 4, Gurgaon",4.6,1063,4853
The Great Kabab Factory - Radisson Blu Plaza Delhi Airport,"North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages",2500," Radisson Blu Plaza Delhi Airport, Mahipalpur, New Delhi",4.6,791,6
Wafflesome,"Desserts, Beverages",500," Greater Kailash 1 (GK1), New Delhi",4.6,1500,2615
Green House - The Beer Garden,"Continental, Tex-Mex, Mediterranean, North Indian, Asian",1500," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",4.6,1452,116
Big Wong,"Asian, Thai, Sushi, Poké, Chinese",1000," Sector 110, Noida",4.6,952,4540
La Pino'z Pizza,"Italian, Fast Food, Beverages, Desserts",500," Raheja Mall, Sohna Road, Gurgaon",4.6,1384,13600
The Hook,"Seafood, Continental, North Indian",1800," Sector 29, Gurgaon",4.6,2285,332
Rahul Eggs,"Fast Food, Healthy Food, Street Food, North Indian",350," Lawrence Road, New Delhi",4.6,1081,639
"Colocal ""The Cacao Artisans""","Cafe, Desserts, Continental, Coffee, Italian, Beverages",1000," Chhatarpur, New Delhi",4.5,571,207
Farzi Cafe,"Mughlai, Finger Food, North Indian, Beverages",2200," Connaught Place, New Delhi",4.5,4355,70
The Drunken Botanist,"Continental, Italian, North Indian, Chinese",2000," Cyber Hub, DLF Cyber City, Gurgaon",4.5,6302,0
Jamun,"North Indian, Mughlai, Fast Food, Beverages",1500," Lodhi Colony, New Delhi",4.5,924,268
Anardana: Modern Kitchen & Bar,"North Indian, Italian, Chinese, Beverages, Biryani, Mughlai, Kebab",1200," Karkardooma, New Delhi",4.5,1165,996
38 Barracks,"Finger Food, North Indian, Italian, Chinese, Continental, Pizza, Desserts, Beverages",1500," Connaught Place, New Delhi",4.5,3888,165
Rooh,"Modern Indian, Continental, Desserts",4000," Mehrauli, New Delhi",4.5,247,0
Sly Granny,"Continental, American, Italian, European, Mexican, Desserts",1800," Khan Market, New Delhi",4.5,992,431
Tamra - Shangri-La's - Eros Hotel,"North Indian, Continental, European, Asian, American, Desserts, Beverages",3800," Shangri-La's - Eros Hotel, Connaught Place, New Delhi",4.5,1004,31
